rozmiar,czas,rodzaj
5000000,0.100000,V
5000000,0.100000,V
5000000,0.100000,V
5000000,0.100000,V
5000000,0.090000,V
5000000,0.100000,V
5000000,0.090000,V
5000000,0.100000,V
5000000,0.090000,V
5000000,0.090000,V
5000000,0.090000,V
5000000,0.110000,V
5000000,0.090000,V
5000000,0.100000,V
5000000,0.100000,V
5000000,0.100000,V
5000000,0.090000,V
5000000,0.090000,V
5000000,0.100000,V
5000000,0.100000,V
6000000,0.120000,V
6000000,0.110000,V
6000000,0.110000,V
6000000,0.120000,V
6000000,0.120000,V
6000000,0.110000,V
6000000,0.110000,V
6000000,0.120000,V
6000000,0.110000,V
6000000,0.110000,V
7000000,0.130000,V
7000000,0.140000,V
7000000,0.130000,V
7000000,0.130000,V
7000000,0.140000,V
7000000,0.130000,V
7000000,0.130000,V
7000000,0.130000,V
7000000,0.140000,V
7000000,0.130000,V
8000000,0.150000,V
8000000,0.130000,V
8000000,0.150000,V
8000000,0.150000,V
8000000,0.150000,V
8000000,0.150000,V
8000000,0.150000,V
8000000,0.150000,V
8000000,0.140000,V
8000000,0.160000,V
9000000,0.160000,V
9000000,0.170000,V
9000000,0.180000,V
9000000,0.170000,V
9000000,0.160000,V
9000000,0.160000,V
9000000,0.170000,V
9000000,0.170000,V
9000000,0.160000,V
9000000,0.160000,V
1000,0.010000,M
1000,0.010000,M
1000,0.000000,M
1000,0.010000,M
1000,0.000000,M
1000,0.010000,M
1000,0.000000,M
1000,0.010000,M
1000,0.000000,M
1000,0.010000,M
2000,0.030000,M
2000,0.020000,M
2000,0.030000,M
2000,0.030000,M
2000,0.030000,M
2000,0.030000,M
2000,0.030000,M
2000,0.020000,M
2000,0.030000,M
2000,0.030000,M
3000,0.070000,M
3000,0.070000,M
3000,0.060000,M
3000,0.070000,M
3000,0.060000,M
3000,0.060000,M
3000,0.060000,M
3000,0.070000,M
3000,0.070000,M
3000,0.070000,M
4000,0.130000,M
4000,0.130000,M
4000,0.130000,M
4000,0.140000,M
4000,0.130000,M
4000,0.130000,M
4000,0.130000,M
4000,0.130000,M
4000,0.130000,M
4000,0.140000,M
5000,0.190000,M
5000,0.210000,M
5000,0.200000,M
5000,0.200000,M
5000,0.190000,M
5000,0.200000,M
5000,0.200000,M
5000,0.190000,M
5000,0.200000,M
5000,0.200000,M
